Reporter_family,REPORTER_DEA_NO,REPORTER_BUS_ACT,REPORTER_NAME,REPORTER_ADDL_CO_INFO,REPORTER_ADDRESS1,REPORTER_ADDRESS2,REPORTER_CITY,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY
Borschow Hospital & Med Supp,PB0187042,DISTRIBUTOR,BORSCHOW HOSPITAL & MED SUPP,,"CENTRO INT'L. DE DISTRIBUCION, EDIF. #10,","CARR. 869, KM 4.2",GUAYNABO,PR,965,GUAYNABO
B F Ascher & Company Inc,PB0213695,DISTRIBUTOR,B F ASCHER & COMPANY INC,,15501 W 109TH STREET,,LENEXA,KS,66219,JOHNSON
Blansett Pharmacal Co,PB0216918,DISTRIBUTOR,BLANSETT PHARMACAL CO,,14 PARKSTONE CIR,,NORTH LITTLE ROCK,AR,72116,PULASKI
Bio-Rad Laboratories,PB0230499,MANUFACTURER,BIO-RAD LABORATORIES,,9500 JERONIMO ROAD,,IRVINE,CA,92618,ORANGE
Cardinal Health,PC0003044,DISTRIBUTOR,"CARDINAL HEALTH 110, LLC",,6012 EAST MOLLOY RD,,SYRACUSE,NY,13211,ONONDAGA
Columbus Serum Co,PC0008171,DISTRIBUTOR,COLUMBUS SERUM CO,,2025 S HIGH STREET,,COLUMBUS,OH,43207,FRANKLIN
Center Medical Supply Co,PC0010746,DISTRIBUTOR,CENTER MEDICAL SUPPLY CO,,5125 PORTAGE RD,,KALAMAZOO,MI,49002,KALAMAZOO
Coast Laboratories Inc,PC0012156,DISTRIBUTOR,COAST LABORATORIES INC,,DBA GREEN'S PHARMACEUTICALS,521 WEST 17TH STREET,LONG BEACH,CA,90813,LOS ANGELES
Cornell Surgical Co,PC0043822,DISTRIBUTOR,CORNELL SURGICAL CO,,HOWARD M SHIFFMAN PRES,30 NEW BRIDGE ROAD,BERGENFIELD,NJ,7621,BERGEN
Cesar Castillo Inc,PC0044696,DISTRIBUTOR,CESAR CASTILLO INC,"CARR #1, KM 21.1","LA MUDA, GUAYNABO,PR  00971",C/O PO BOX 191149,SAN JUAN,PR,919,SAN JUAN
Capital Wholesale Drug & Co,PC0049507,DISTRIBUTOR,CAPITAL WHOLESALE DRUG & CO,,873 WILLIAMS AVE,,GRANDVIEW HEIGHTS,OH,43212,FRANKLIN
Cochran Wholesale Pharmaceutical,PC0147202,DISTRIBUTOR,COCHRAN WHOLESALE PHARMACEUTICAL,,1304 SOUTH BROAD STREET,P.O. BO 1170,MONROE,GA,30655,WALTON
McKesson Corporation,PD0029567,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG COMPANY,7721 POLK STREET,LANDOVER,MD,20785,PRINCE GEORGES
Novartis Consumer Health,PD0038667,MANUFACTURER,NOVARTIS CONSUMER HEALTH,US HIGHWAY 6 & INTERSTATE 80,PO BOX 83288,DRUG REG A,LINCOLN,NE,68501,LANCASTER
DHHS,PD0043050,DISTRIBUTOR,DHHS,,PROGRAM SUPPORT CENTER,HHS SUPPLY SERVICE CENTER,PERRY POINT,MD,21902,CECIL
Drogueria Betances,PD0044709,DISTRIBUTOR,DROGUERIA BETANCES,URB INDUST. CARTAGENA CARR #1,"KM 34.0, CAGUAS, PR",PO BOX 368,CAGUAS,PR,726,CAGUAS
Dik Drug Co,PD0058063,DISTRIBUTOR,DIK DRUG CO,,160 TOWER DRIVE,,BURR RIDGE,IL,60527,DUPAGE
Discount Drug Mart,PD0203377,DISTRIBUTOR,DISCOUNT DRUG MART,,211 COMMERCE DRIVE,,MEDINA,OH,44256,MEDINA
,PE0030712,MANUFACTURER,ELI LILLY & COMPANY,,1301 S. WHITE RIVER PARKWAY,,INDIANAPOLIS,IN,46225,MARION
Edwards Medical Supply,PE0172786,DISTRIBUTOR,EDWARDS MEDICAL SUPPLY,,495 WOODCREEK DRIVE,,BOLINGBROOK,IL,60440,WILL
McKesson Corporation,PF0000012,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO.,9501 NORWALK BLVD,SANTA FE SPRINGS,CA,90670,LOS ANGELES
Frank W Kerr Inc,PF0031120,DISTRIBUTOR,FRANK W KERR INC,,43155 W 9 MILE RD,,NOVI,MI,48376,OAKLAND
"Luis Garraton, LLC",PG0015900,DISTRIBUTOR,"LUIS GARRATON, LLC",,URBANIZACION INDUSTRIAL LUCHETTI,CARR #28 AVE. CENTRAL JUANITA,BAYAMON,PR,961,BAYAMON
Goodwin Drug Co,PG0032350,DISTRIBUTOR,GOODWIN DRUG CO,,1410 MAIN STREET,,WHEELING,WV,26003,OHIO
American Sales Company,PG0149650,DISTRIBUTOR,AMERICAN SALES COMPANY,,7110 AMBASSADOR ROAD,,BALTIMORE,MD,21244,BALTIMORE
Great Southern Laboratories,PG0208947,MANUFACTURER,GREAT SOUTHERN LABORATORIES,,10863 ROCKLEY RD,,HOUSTON,TX,77099,HARRIS
"General Injectables & Vaccines,Inc",PG0229321,DISTRIBUTOR,"GENERAL INJECTABLES & VACCINES,INC",DBA GIV,80 SUMMIT VIEW LANE,P.O. BOX 9,BASTIAN,VA,24314,BLAND
Hanna's Pharmac Supply Inc,PH0028399,DISTRIBUTOR,HANNA'S PHARMAC SUPPLY INC,,MARK J HANNA,2505 WEST 6TH ST,WILMINGTON,DE,19805,NEW CASTLE
H. D. Smith,PH0035964,DISTRIBUTOR,H D SMITH WHOLESALE DRUG CO,,4650 INDUSTRIAL DR,,SPRINGFIELD,IL,62703,SANGAMON
"Hals Med Dent Supply Co., Inc.",PH0187117,DISTRIBUTOR,"HALS MED DENT SUPPLY CO., INC.",,3825 32ND ST,,SAN DIEGO,CA,92104,SAN DIEGO
KV Pharmaceutical,PH0200030,MANUFACTURER,KV PHARMACEUTICAL COMPANY,,WESTPORT FACILITY,2303 SCHUETZ ROAD,ST LOUIS,MO,63146,SAINT LOUIS
Hawaii Mega-Cor Inc,PH0233279,DISTRIBUTOR,HAWAII MEGA-COR INC,,99-940 IWAENA ST,,AIEA,HI,96701,HONOLULU
H J Harkins Company Inc,PH0234928,MANUFACTURER,H J HARKINS COMPANY INC,DBA: PHARMA PAC,513 SANDYDALE,,NIPOMO,CA,93444,SAN LUIS OBISPO
Jose Ferrari Inc,PJ0229143,DISTRIBUTOR,JOSE  FERRARI  INC,"AVE SAN CARLOS, ESQ .J.T. PINERO","AGUADILLA ,P.R .00603",C/O BOX  6,AGUADILLA,PR,605,AGUADILLA
Kinray Inc,PK0070297,DISTRIBUTOR,KINRAY INC,,152-35 10TH AVE.,,WHITESTONE,NY,11357,QUEENS
Kaiser Permanente,PK0132706,DISTRIBUTOR,KAISER FOUNDATION HOSPITALS,,9521 DALEN ST,,DOWNEY,CA,90242,LOS ANGELES
Kaiser Permanente,PK0132821,DISTRIBUTOR,KAISER FNDTN HEALTH PLAN NW,PHARMACY MATERIAL SERVICES,5721 NE 138TH AVE,REC DOOR D,PORTLAND,OR,97230,MULTNOMAH
King Drug Company of Florence,PK0145020,DISTRIBUTOR,KING DRUG COMPANY OF FLORENCE,,605 WEST LUCAS STREET,,FLORENCE,SC,29501,FLORENCE
AmerisourceBergen Drug,PL0032627,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,322 N 3RD STREET,,PADUCAH,KY,42001,MCCRACKEN
Louisiana Wholesale Drug Co,PL0184933,DISTRIBUTOR,LOUISIANA WHOLESALE DRUG CO,,2085 I-49 SOUTH SERVICE ROAD,,SUNSET,LA,70584,SAINT LANDRY
McKesson Corporation,PM0000771,DISTRIBUTOR,MCKESSON CORPORATION,,1515 KENDRICK LANE,,LAKELAND,FL,33805,POLK
McKesson Corporation,PM0001014,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO.,80 SAND ISLAND ACCESS RD,HONOLULU,HI,96819,HONOLULU
McKesson Corporation,PM0001951,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO.,4836 SOUTHRIDGE BLVD,MEMPHIS,TN,38141,SHELBY
McKesson Corporation,PM0003094,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO.,2700 NORTH AMERICA DRIVE,WEST SENECA,NY,14224,ERIE
Merritt Veterinary Supplies Inc,PM0005721,DISTRIBUTOR,MERRITT VETERINARY SUPPLIES INC,,1520 PINEVIEW ROAD,,COLUMBIA,SC,29209,RICHLAND
McKesson Corporation,PM0018425,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO.,14500 E 39TH AVE,AURORA,CO,80011,ADAMS
McKesson Corporation,PM0020850,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO.,9 AEGEAN DR,METHUEN,MA,1844,ESSEX
McKesson Corporation,PM0021131,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO.,495 S. 107TH,TOLLESON,AZ,85353,MARICOPA
McKesson Corporation,PM0021535,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO.,3775 SEAPORT BLVD,WEST SACRAMENTO,CA,95691,YOLO
McKesson Corporation,PM0022929,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO.,9700 SW COMMERCE CIRCLE,WILSONVILLE,OR,97070,CLACKAMAS
McKesson Corporation,PM0023046,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO.,1900 SOUTH 4490 WEST,SALT LAKE CITY,UT,84104,SALT LAKE
McKesson Corporation,PM0030849,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO.,38220 PLYMOUTH RD,LIVONIA,MI,48150,WAYNE
Miami-Luken,PM0031550,DISTRIBUTOR,MIAMI-LUKEN,,265 S PIONEER BLVD,,SPRINGBORO,OH,45066,WARREN
Mylan Pharmaceutical Inc,PM0032437,MANUFACTURER,MYLAN PHARMACEUTICALS INC,MYLAN,781 CHESTNUT RIDGE RD,,MORGANTOWN,WV,26504,MONONGALIA
McKesson Corporation,PM0036334,DISTRIBUTOR,MCKESSON DRUG COMPANY,,DBA MCKESSON DRUG CO.,3230 SPRUCE STREET,LITTLE CANADA,MN,55117,RAMSEY
McKesson Corporation,PM0037374,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO,1 COMMERCE DR. PO BOX 8808,O'FALLON,MO,63366,SAINT CHARLES
Mc Queary Brothers,PM0037401,DISTRIBUTOR,MC QUEARY BROTHERS,,4727 E. KEARNEY,PO BOX 5955,SPRINGFIELD,MO,65801,GREENE
Mallinckrodt LLC,PM0037451,MANUF (BULK),MALLINCKRODT LLC,,3600 NORTH SECOND STREET,,SAINT LOUIS,MO,63147,SAINT LOUIS CITY
McKesson Corporation,PM0038693,DISTRIBUTOR,MCKESSON CORPORATION,,"DBA MCKESSON DRUG CO,",7009 SOUTH 108 STREET,LA VISTA,NE,68128,SARPY
CVS,PM0124723,DISTRIBUTOR,CVS PHARMACY INC,,"150 INDUSTRIAL DR., WRHS #2",,NORTH SMITHFIELD,RI,2896,PROVIDENCE
NYC Health & Hospital Corporation,PM0134952,DISTRIBUTOR,NYC HHC CORRECTIONAL HEALTH SERVICES,CENTRAL MEDICAL SUPPLY,PHARMACY DEPARTMENT,18-39 42ND STREET,LONG ISLAND CITY,NY,11105,QUEENS
Mikart,PM0142137,MANUFACTURER,MIKART,,2090 MARIETTA BLVD,,ATLANTA,GA,30318,FULTON
McKesson Corporation,PM0150538,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO,710 132ND STREET SW,EVERETT,WA,98204,SNOHOMISH
Happy Harry Incorporated,PM0158382,DISTRIBUTOR,HAPPY HARRY INCORPORATED,,326 RUTHAR DRIVE,,NEWARK,DE,19711,NEW CASTLE
,PM0212693,MANUF (BULK),NORAMCO INC,,500 SWEDES LANDING ROAD,,WILMINGTON,DE,19801,NEW CASTLE
Marnel Pharmaceuticals,PM0225575,DISTRIBUTOR,MARNEL PHARMACEUTICALS,,206 LUKE ST,,LAFAYETTE,LA,70506,LAFAYETTE
MWI Veterinary Supply,PM0226642,DISTRIBUTOR,M W I VETERINARY SUPPLY CO,DBA/MWI ANIMAL HEALTH,2117 NORTH ELDER STREET,,NAMPA,ID,83687,CANYON
N C Mutual Wholesale Drug Co,PN0033857,DISTRIBUTOR,N C MUTUAL WHOLESALE DRUG CO,,816 ELLIS RD,,DURHAM,NC,27703,DURHAM
"Nexgen Pharma, Inc",PN0102931,MANUFACTURER,"NEXGEN PHARMA, INC",,17802 GILLETTE AVE,,IRVINE,CA,92614,ORANGE
NorMed,PN0114520,DISTRIBUTOR,NORMED INC,,4310 SOUTH 131ST PLACE,P.O. BOX 3644,SEATTLE,WA,98124,KING
NYS Dept of Correctional Svs,PN0161036,DISTRIBUTOR,NYS DEPT OF CORRECTIONAL SVS,CENTRAL WAREHOUSE,BOX 479,8891 OLD RIVER ROAD,MARCY,NY,13403,ONEIDA
"Actavis Pharma, Inc.",PN0187333,MANUFACTURER,ACTAVIS MID ATLANTIC LLC.,,7205 WINDSOR BLVD.,,BALTIMORE,MD,21244,BALTIMORE
American Drug Stores,PO0106117,DISTRIBUTOR,"AMERICAN DRUG STORES ,  INC",,DBA OSCO DISTRIBUTION CENTER,2401 LUNT AVENUE,ELK GROVE VILLAGE,IL,60007,COOK
Forest Pharmaceuticals,PO0237594,DISTRIBUTOR,FOREST PHARMACEUTICALS,SUBSIDIARY OF FOREST,"LABORATORIES, INC.",13600 SHORELINE DR.,ST LOUIS,MO,63045,SAINT LOUIS
Professional Drug Co,PP0001115,DISTRIBUTOR,PROFESSIONAL DRUG CO,,186 BOHN STREET,,BILOXI,MS,39530,HARRISON
Pharmaceutical Associates Inc,PP0005745,MANUFACTURER,PHARMACEUTICAL ASSOCIATES,,201 DELAWARE ST,,GREENVILLE,SC,29605,GREENVILLE
Prescription Supply Inc,PP0031904,DISTRIBUTOR,PRESCRIPTION SUPPLY INC,,2233 TRACY ROAD,,NORTHWOOD,OH,43619,WOOD
Pamlab,PP0034683,DISTRIBUTOR,PAMLAB,,68424 JAMES STREET,P.O. BOX 8950,MANDEVILLE,LA,70470,SAINT TAMMANY
Moore Medical LLC,PP0040167,DISTRIBUTOR,MOORE MEDICAL LLC,,370 JOHN DOWNEY DRIVE,,NEW BRITAIN,CT,6051,HARTFORD
Pharmacy Service Ctr Distr,PP0049658,DISTRIBUTOR,PHARMACY SERVICE CTR DISTR,,OHIO DEPT OF MENTAL HLTH,2150 WEST BROAD STREET,COLUMBUS,OH,43223,FRANKLIN
Kroger,PP0220828,DISTRIBUTOR,KROGER LIMITED PARTNERSHIP II,,DBA PEYTON'S NORTHERN,1111 SOUTH ADAMS STREET,BLUFFTON,IN,46714,WELLS
Pharmedix,PP0234839,MANUFACTURER,PHARMEDIX,,3281 WHIPPLE ROAD,,UNION CITY,CA,94587,ALAMEDA
Penn Veterinary Supply,PP0236352,DISTRIBUTOR,PENN VETERINARY SUPPLY,,53 INDUSTRIAL CIRCLE,,LANCASTER,PA,17601,LANCASTER
"Par Pharmaceutical, Inc.",PP0244703,MANUFACTURER,"PAR PHARMACEUTICAL, INC.",D/B/A PAR PHARMACEUTICAL,ONE RAM RIDGE ROAD,,CHESTNUT RIDGE,NY,10977,ROCKLAND
3M Drug Delivery Systems,PR0001343,MANUFACTURER,3M DRUG DELIVERY SYSTEMS,,19901 NORDHOFF STREET,BUILDING 12,NORTHRIDGE,CA,91324,LOS ANGELES
Rochester Drug Co-Operative Inc,PR0003032,DISTRIBUTOR,ROCHESTER DRUG CO-OPERATIVE INC,,50 JETVIEW DRIVE,,ROCHESTER,NY,14624,MONROE
Reyman Drug Co,PR0006406,DISTRIBUTOR,REYMAN DRUG CO,,817 E BALTIMORE ST,,BALTIMORE,MD,21202,BALTIMORE CITY
McKesson Corporation,PR0040357,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO,2975 EVERGREEN DR,DULUTH,GA,30096,GWINNETT
H C Pharmacy Central Inc,PR0044052,DISTRIBUTOR,H C PHARMACY CENTRAL INC,,SUITE 200,3175 EAST CARSON ST.,PITTSBURGH,PA,15203,ALLEGHENY
Richie Pharmacal,PR0095794,DISTRIBUTOR,RICHIE PHARMACAL CO INC,,119 STATE AVE,,GLASGOW,KY,42141,BARREN
McKesson Corporation,PR0104593,DISTRIBUTOR,MCKESSON CORPORATION,,DBA MCKESSON DRUG CO,280 DIVIDEND RD,ROCKY HILL,CT,6067,HARTFORD
R A Mcneil Co,PR0118136,DISTRIBUTOR,R A MCNEIL CO,,1150 LATTA STREET,,CHATTANOOGA,TN,37406,HAMILTON
CVS,PR0205559,DISTRIBUTOR,"CVS TN DISTRIBUTION, LLC",,10017 KINGSTON PIKE,,KNOXVILLE,TN,37922,KNOX
Rinor Corporation,PR0221755,DISTRIBUTOR,RINOR CORPORATION,PARQUE INDUSTRIAL CORUJO,CALLE A LOTE 11,,BAYAMON,PR,961,BAYAMON
Rimaco Inc,PR0235590,DISTRIBUTOR,RIMACO INC,"MARGINAL BUCHANNAN- EXT.VILLA CAPARRA GUAYNABO,",C/O PO BOX 8895,FERNANDEZ JUNCOS STATION,SANTURCE,PR,910,SAN JUAN
Smith Drug Company,PS0001723,DISTRIBUTOR,SMITH DRUG COMPANY,,DIVISION JM SMITH CORP,9098 FAIRFOREST ROAD,SPARTANBURG,SC,29301,SPARTANBURG
Sharp Corporation DBA Sharp Packaging Services,PS0016015,MANUFACTURER,SHARP CORPORATION D/B/A SHARP PACKAGING SERVICES,AND TRADE AS SHARP PACKAGING SOLUTIONS,23 CARLAND ROAD,,CONSHOHOCKEN,PA,19428,MONTGOMERY
CFSE Centro Distribucion de Medicamentos,PS0062149,DISTRIBUTOR,CFSE CENTRO DISTRIBUCION DE MEDICAMENTOS,CORP FONDO SEGURO DEL ESTADO,"CARR 22, BO MONACILLOS",CENTRO MEDICO,SAN JUAN,PR,936,SAN JUAN
Sigma-Aldrich,PS0083989,MANUFACTURER,SIGMA-ALDRICH MANUFACTURING LLC,,3500 DEKALB STREET,,SAINT LOUIS,MO,63118,SAINT LOUIS CITY
,PS0097659,MANUF (BULK),"SIEGFRIED USA, LLC",,33 INDUSTRIAL PARK RD,,PENNSVILLE,NJ,8070,SALEM
Stewart-Jackson Pharmacal Inc,PS0151100,DISTRIBUTOR,STEWART-JACKSON PHARMACAL INC,,4587 DAMASCUS,,MEMPHIS,TN,38118,SHELBY
Sigma-Aldrich,PS0186139,DISTRIBUTOR,SIGMA-ALDRICH,,2425 SOUTH SECOND STREET,,SAINT LOUIS,MO,63104,SAINT LOUIS CITY
Meridian Medical Technologies,PS0221630,MANUFACTURER,MERIDIAN MEDICAL TECHNOLOGIES,,PHARMACEUTICAL DIVISION,2555 HERMELIN DRIVE,SAINT LOUIS,MO,63144,SAINT LOUIS
Truxton C O Inc,PT0003549,DISTRIBUTOR,TRUXTON C O INC,,136 HARDING AVENUE,,BELLMAWR,NJ,8031,CAMDEN
H. D. Smith,PT0027296,DISTRIBUTOR,HD SMITH TEXAS DIVISION,,1101 W VICKERY BLVD,,FORT WORTH,TX,76104,TARRANT
F Dohmen Co,PT0038249,DISTRIBUTOR,F DOHMEN CO,,W 194 N 11381 MC CORMICK DR,,GERMANTOWN,WI,53022,WASHINGTON
The P F Laboratories,PT0164587,MANUFACTURER,THE P F LABORATORIES,,700 UNION BLVD,,TOTOWA,NJ,7512,PASSAIC
UTMB-CMC,PT0175186,DISTRIBUTOR,UTMB-CMC,,DEPT OF PHARMACY,2400 AVENUE I,HUNTSVILLE,TX,77340,WALKER
Meijer Distribution Inc #90,PT0185276,DISTRIBUTOR,MEIJER DISTRIBUTION INC #90,,2721 WALKER NW,,GRAND RAPIDS,MI,49544,KENT
University of Iowa,PU0103313,MANUFACTURER,UNIVERSITY OF IOWA,PHARMACEUTICALS,COLLEGE OF PHARMACY,115 S GRAND AVENUE,IOWA CITY,IA,52242,JOHNSON
Merit Hlthcare International,PU0188347,DISTRIBUTOR,MERIT HLTHCARE INTERNATIONAL,,MERIT PHARMACEUTICAL,2611 N. SAN FERNANDO ROAD,LOS ANGELES,CA,90065,LOS ANGELES
Mylan Pharmaceutical Inc,PU0219902,MANUFACTURER,MYLAN INSTITUTIONAL INC.,,1718 NORTHROCK COURT,,ROCKFORD,IL,61103,WINNEBAGO
Upsher-Smith Laboratories LLC,PU0223379,MANUFACTURER,UPSHER-SMITH LABORATORIES LLC,,14905 23RD AVENUE NORTH,,PLYMOUTH,MN,55447,HENNEPIN
Mylan Pharmaceutical Inc,PU0235398,DISTRIBUTOR,MYLAN INSTITUTIONAL INC.,,4951 HIAWATHA DRIVE,,ROCKFORD,IL,61103,WINNEBAGO
Value Drug Co,PV0035673,DISTRIBUTOR,VALUE DRUG CO,,ONE GOLF VIEW DRIVE,,ALTOONA,PA,16601,BLAIR
Vita Rx Corp,PV0167862,DISTRIBUTOR,VITA RX CORP,,4625 WARM SPRINGS ROAD,,COLUMBUS,GA,31909,MUSCOGEE
Valley Wholesale Drug Co,PV0204634,DISTRIBUTOR,VALLEY WHOLESALE DRUG CO,,1401 WEST FREMONT ST,,STOCKTON,CA,95203,SAN JOAQUIN
Victor Instruments Inc,PV0215118,DISTRIBUTOR,VICTOR INSTRUMENTS INC,VICTOR INSTRUMENTS,50 BUNSEN,,IRVINE,CA,92618,ORANGE
Western Medical Supply,PW0000202,DISTRIBUTOR,WESTERN MEDICAL SUPPLY,HILDA A. DOMINGUEZ,117 E HUNTINGTON DRIVE,,ARCADIA,CA,91006,LOS ANGELES
D & K Healthcare Resources,PW0032538,DISTRIBUTOR,D & K HEALTHCARE RESOURCES,,2040 CREATIVE DRIVE,SUITE 300,LEXINGTON,KY,40505,FAYETTE
Wesley Pharmacal Co,PW0109428,DISTRIBUTOR,WESLEY PHARMACAL CO,,114 RAILROAD DRIVE,,IVYLAND,PA,18974,BUCKS
Walgreen Co,PW0122262,DISTRIBUTOR,WALGREEN CO,,2455 PREMIER ROW,,ORLANDO,FL,32809,ORANGE
Wal-Mart,PW0186785,DISTRIBUTOR,WAL-MART PHARM WAREHOUSE #1,,2252 NORTH 8TH STREET,,ROGERS,AR,72756,BENTON
Walgreen Co,PW0211158,DISTRIBUTOR,WALGREEN CO,,DBA WALGREENS,4400 STATE RD 19,WINDSOR,WI,53598,DANE
Walgreen Co,PW0221084,DISTRIBUTOR,WALGREEN ARIZONA DRUG CO,,DBA WALGREENS,2400 N WALGREEN STREET,FLAGSTAFF,AZ,86004,COCONINO
P M C Marketing Corp,PY0198780,DISTRIBUTOR,P M C MARKETING CORP,DBA C.O.D. DRUGS,1086 MUNOZ RIVERA AVENUE,C/O PO BOX 29166,SAN JUAN,PR,929,SAN JUAN
3M Drug Delivery Systems,R90240806,MANUFACTURER,3M DRUG DELIVERY SYSTEMS,,3M CENTER,BUILDING 260-4S-13,SAINT PAUL,MN,55144,RAMSEY
"4UORTHO,LLC",R90367335,DISTRIBUTOR,"4UORTHO,LLC",DBA 4UDOCTOR,34 EAST DUDLEY TOWN RD,,BLOOMFIELD,CT,6002,HARTFORD
Associated Medical Supply Inc,RA0107830,DISTRIBUTOR,ASSOCIATED MEDICAL SUPPLY INC,,15210 N. 75TH STREET,,SCOTTSDALE,AZ,85260,MARICOPA
"A F Hauser, Inc",RA0108034,DISTRIBUTOR,"A F HAUSER, INC",,4401 EAST US HWY 30,,VALPARAISO,IN,46383,PORTER
AstraZeneca LP,RA0109391,MANUFACTURER,ASTRAZENECA LP,,JACKIE GUNNERSON,50 OTIS STREET,WESTBOROUGH,MA,1581,WORCESTER
AL Pharma,RA0109581,DISTRIBUTOR,AL PHARMA,,PARMED PHARMACEUTICALS INC,4220 HYDE PARK BLVD,NIAGARA FALLS,NY,14305,NIAGARA
"Allscripts, LLC",RA0110065,MANUFACTURER,"ALLSCRIPTS, LLC",,2401 COMMERCE DRIVE,,LIBERTYVILLE,IL,60048,LAKE
Baxter Healthcare Corp,RA0110128,DISTRIBUTOR,BAXTER HEALTHCARE CORP,,4750 PLEASANT HILL DRIVE,,MEMPHIS,TN,38118,SHELBY
AmerisourceBergen Drug,RA0129937,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,100 FRIARS BLVD,,THOROFARE,NJ,8086,GLOUCESTER
Alza Corporation,RA0156376,MANUFACTURER,ALZA CORPORATION,,ATTN: DEA COMPLIANCE,700 EUBANKS DRIVE,VACAVILLE,CA,95688,SOLANO
Pharmed Group Corp,RA0158801,DISTRIBUTOR,PHARMED GROUP CORP,,3075 NW 107TH AVENUE,,MIAMI,FL,33172,MIAMI-DADE
AAIPharma,RA0159928,MANUFACTURER,AAIPHARMA,ATTN: DEA COMPLIANCE OFFICE,MFG.  CTR-WILMINGTON,1726 NORTH 23RD STREET,WILMINGTON,NC,28405,NEW HANOVER
Allen Dickson,RA0160755,DISTRIBUTOR,ALLEN DICKSON,DBA M-D OF BEAUMONT,P.O. BOX 1910,2619 S.H. 124,WINNIE,TX,77665,CHAMBERS
American Medicine,RA0163484,DISTRIBUTOR,AMERICAN MEDICINE,,2924 BRAKLEY DRIVE,#B-4,BATON ROUGE,LA,70816,EAST BATON ROUGE
