BUYER_DEA_NO,BUYER_STATE,BUYER_COUNTY,lat,lon
BI4870956,AL,MOBILE,30.6824396,-88.1021725
FC2476047,AL,MOBILE,30.6768907,-88.172776
BR5156965,AL,MONTGOMERY,32.3085765,-86.3506694
BW3313854,AL,MONTGOMERY,32.3104718,-86.3514646
AS0474356,AL,MORGAN,34.4453362,-86.9383303
BR5155026,AL,MORGAN,34.4406926,-86.9404237
BK5332298,AL,MORGAN,34.4405177,-86.9433674
FW0689135,AL,MORGAN,34.443037,-86.9432339
BH2094314,AL,MORGAN,34.4405177,-86.9433674
AF3177462,AL,MORGAN,34.4453291,-86.937176
AS4551619,AL,MORGAN,34.3850261,-86.9129998
BR5156953,AL,PICKENS,33.1264604,-88.1481234
AP9395004,AL,PICKENS,33.1273765,-88.1459054
AF5809720,AL,RUSSELL,32.472473,-85.0085409
FU2988256,AL,RUSSELL,32.4724864,-85.0085297
FS0052299,AL,SHELBY,33.3518854,-86.6117336
FW0730401,AL,SHELBY,33.3496746,-86.6277249
BC6901640,AL,SHELBY,33.3491188,-86.631378
FP2471477,AL,SHELBY,33.353232,-86.6087409
AT8898667,AL,SUMTER,32.5835837,-88.1872615
AY0478556,AL,SUMTER,32.4886182,-88.2994015
BY6065723,AL,SUMTER,32.4887406,-88.299825
BW3575226,AL,TUSCALOOSA,33.237361,-87.5524871
BK2060060,AL,TUSCALOOSA,33.239634,-87.575238
BF6571790,AL,TUSCALOOSA,33.2386812,-87.5616783
FH0903422,AL,TUSCALOOSA,33.2609498,-87.3153964
BW5383396,AL,TUSCALOOSA,33.1651751,-87.5187189
FS3113608,AL,TUSCALOOSA,33.1660867,-87.52042
AL0478924,AL,TUSCALOOSA,33.2068735,-87.4993509
AG9104340,AL,WINSTON,34.1593179,-87.4150534
BH3897608,AL,WINSTON,34.1499077,-87.4031875
FG2260937,AL,WINSTON,34.1593179,-87.4150534
FW0063913,AL,DALLAS,32.4319502,-87.0231473
FA0604505,AL,DALLAS,32.4337533,-87.0236608
BW5383219,AL,HOUSTON,31.2680202,-85.4412647
BW4861705,AL,HOUSTON,31.2594,-85.4321573
BW8821779,AL,BALDWIN,30.2293795,-88.008114
AM2766446,AL,CHOCTAW,32.0887569,-88.2147274
AM4455297,AL,CHOCTAW,32.0902563,-88.2182558
BF6981028,AL,CHOCTAW,32.0923601,-88.2220016
AC0476514,AL,CLARKE,31.7079201,-87.776325
BT5226976,AL,CLARKE,31.7091661,-87.7753202
BW9881550,AL,CULLMAN,34.2456495,-86.9604922
BW9075498,AL,CULLMAN,34.2456495,-86.9604922
BR5156129,AL,DALE,31.4592896,-85.64152
FC0166125,AL,DALE,31.4586164,-85.6387502
AA6785995,AL,DALE,31.4586164,-85.6387502
AP0474306,AL,DALLAS,32.4078802,-87.0202958
AB0453097,AL,DALLAS,32.4219991,-87.0245086
AS0473669,AL,DALLAS,32.4078447,-87.0242694
BD7436125,AL,DALLAS,32.4155319,-87.0317398
BH3014711,AL,DALLAS,32.4307531,-87.0248659
AC3164035,AL,DALLAS,32.4087,-87.0208
FG0422446,AL,ETOWAH,34.0169033,-85.99616
AW9800435,AL,ETOWAH,34.0169033,-85.99616
FR2498132,AL,ETOWAH,34.0469845,-85.965557
AJ7232882,AL,ETOWAH,34.0215507,-86.0455314
FS1685758,AL,FRANKLIN,34.5131367,-87.7179928
BW5382988,AL,FRANKLIN,34.4952902,-87.7283879
AF2897176,AL,FRANKLIN,34.5131367,-87.7179928
FS1769035,AL,FRANKLIN,34.5096978,-87.7203502
FH0413978,AL,FRANKLIN,34.5096978,-87.7203502
FS1704659,AL,FRANKLIN,34.5018099,-87.7318928
BA4370425,AL,FRANKLIN,34.5041209,-87.7311327
BM2917257,AL,FRANKLIN,34.5096978,-87.7203502
BJ9084675,AL,HOUSTON,31.2017938,-85.4347768
BP9909637,AL,HOUSTON,31.220797,-85.43387
AB6315801,AL,HOUSTON,31.215916,-85.3645898
AC5557321,AL,HOUSTON,31.212721,-85.3626125
FP2246088,AL,HOUSTON,31.197103,-85.3742628
BS3863140,AL,HOUSTON,31.2127959,-85.3628344
FS1137149,AL,HOUSTON,31.2167252,-85.3630676
BI8654370,AL,HOUSTON,31.203702,-85.38462
AR1935420,AL,JEFFERSON,33.5822547,-86.7705833
AB0476730,AL,JEFFERSON,33.5711214,-86.7840287
FF2390110,AL,JEFFERSON,33.5711214,-86.7840287
BW6079582,AL,JEFFERSON,33.6464177,-86.6833657
BW4392647,AL,JEFFERSON,33.652417,-86.6496642
BH3898357,AL,JEFFERSON,33.6534238,-86.649368
BW6235116,AL,JEFFERSON,33.5680969,-86.8975329
BR5764306,AL,JEFFERSON,33.3992977,-86.8046156
BD5662867,AL,JEFFERSON,33.393149,-86.7960093
AB2207012,AL,JEFFERSON,33.4043054,-86.8053219
FL0555079,AL,JEFFERSON,33.4000269,-86.8025123
BR5154795,AL,JEFFERSON,33.3697092,-86.8001593
BC8574697,AL,JEFFERSON,33.3782129,-86.8121443
BS7311690,AL,JEFFERSON,33.3736816,-86.8087447
AM7823897,AL,LAUDERDALE,34.808924,-87.6657227
FJ1782691,AL,LEE,32.6522602,-85.3789733
AM6944361,AL,LEE,32.6522602,-85.3789733
AT3472747,AL,LEE,32.6387454,-85.39666
BK0801337,AL,LEE,32.6423722,-85.390429
BB8765109,AL,LEE,32.652329,-85.3793464
AJ0480690,AL,LIMESTONE,34.9914796,-86.846239
BP4646216,AL,LIMESTONE,34.9832866,-86.8457979
BF9339347,AL,LIMESTONE,34.7884147,-86.9748102
BD8565028,AL,LOWNDES,32.1845359,-86.5766966
AF2586735,AL,LOWNDES,32.1833769,-86.5811325
BP5058501,AL,MADISON,34.6929062,-86.5660608
FS1360798,AL,MADISON,34.6964881,-86.5675411
BS6576788,AL,MADISON,34.8504292,-86.7153103
FP0972364,AL,MADISON,34.8463845,-86.710826
BR5155951,AL,MARSHALL,34.3450406,-86.3041158
BW5383295,AL,MARSHALL,34.299367,-86.2790262
AG5497981,AL,MARSHALL,34.3381453,-86.3123234
BK0702301,AL,MOBILE,30.6909084,-88.0886259
FI2967480,AL,MOBILE,30.6946322,-88.0800656
BC9508221,AL,MOBILE,30.6537389,-88.1394326
FW0568076,AL,MOBILE,30.6774542,-88.190062
BW5459587,AL,MOBILE,30.6626067,-88.1887338
BB4776386,AL,MOBILE,30.6741589,-88.1718455
FB1376715,AL,MOBILE,30.6742298,-88.1719761
BH2254756,AL,MONTGOMERY,32.3264017,-86.2640283
AH7428154,AL,RANDOLPH,33.314573,-85.4841041
FL3079628,AL,RANDOLPH,33.3121996,-85.4835643
AT1063938,AL,SAINT CLAIR,33.5832795,-86.2780586
FP2771485,AL,SAINT CLAIR,33.5637869,-86.2677569
FJ2177435,AL,SAINT CLAIR,33.5819998,-86.2765219
FB2230554,AL,SHELBY,33.2187627,-86.8255249
BM8263080,AL,TALLADEGA,33.1677996,-86.2553405
BR5155456,AL,TALLADEGA,33.1675572,-86.2501826
FF1408079,AL,TALLADEGA,33.1669676,-86.2568481
FW0131730,AL,TALLADEGA,33.1677157,-86.2527519
AM0484078,AL,TALLADEGA,33.1780211,-86.2505672
AP6463082,AL,TALLADEGA,33.1708852,-86.2506289
AH5643855,AL,TALLADEGA,33.167683,-86.2514523
BS7685247,AL,TUSCALOOSA,33.2713637,-87.5961867
BR5156888,AL,TUSCALOOSA,33.239902,-87.5770829
FA0242812,AL,TUSCALOOSA,33.3061646,-87.6003537
AH0478873,AL,TUSCALOOSA,33.2411379,-87.5787586
BP8686632,AL,TUSCALOOSA,33.2411379,-87.5787586
AH5444827,AL,TUSCALOOSA,33.1884623,-87.5269292
AH0468048,AL,TUSCALOOSA,33.1982209,-87.5397979
AM2516841,AL,TUSCALOOSA,33.1938782,-87.5287476
BH0750530,AL,TUSCALOOSA,33.1682294,-87.5288829
BW9589194,AL,CALHOUN,33.6552988,-85.8272657
BW3833375,AL,CALHOUN,33.6556816,-85.8308659
BH2094388,AL,CALHOUN,33.6633299,-85.8274257
BA9214521,AL,CALHOUN,33.6618089,-85.8301859
BW5383346,AL,DALLAS,32.4337583,-87.0128512
BV9681190,AL,DALLAS,32.5044762,-86.9904424
BS9082087,AL,JACKSON,34.6724115,-86.022401
AC1200372,AL,JACKSON,34.6663575,-86.0359338
BS8992124,AL,JACKSON,34.6653824,-86.0344356
AH0483230,AL,JEFFERSON,33.5084556,-86.799574
BT5819389,AL,JEFFERSON,33.5021227,-86.8064447
BT5819377,AL,JEFFERSON,33.5023235,-86.7979839
BB1415024,AL,JEFFERSON,33.5008066,-86.7968066
BS6949119,AL,JEFFERSON,33.5059006,-86.8078722
BT7438460,AL,JEFFERSON,33.5079488,-86.8002573
BU4329771,AL,JEFFERSON,33.5054832,-86.8022118
BT7161526,AL,LEE,32.6149924,-85.4639459
BC5877470,AL,LEE,32.6082181,-85.4655167
BW9226033,AL,LEE,32.6095829,-85.4654765
BW3452480,AL,LEE,32.6102708,-85.4493508
BK0862880,AL,LEE,32.610718,-85.4631201
BB8013966,AL,LEE,32.607672,-85.44897
BL8657338,AL,MARENGO,32.3032873,-87.7987671
BC7007544,AL,MOBILE,30.6865927,-88.0544311
BW9827063,AL,MONTGOMERY,32.3708254,-86.2682328
AA5660685,AL,MORGAN,34.5662704,-87.0172136
BP8674726,AL,MORGAN,34.5651355,-87.0123398
BR5764370,AL,SHELBY,33.3661848,-86.797099
BP7811614,AL,JEFFERSON,33.3470045,-86.7972673
FE0623187,AL,JEFFERSON,33.3655715,-86.783501
BW7581778,AL,MOBILE,30.6822432,-88.2259841
BW7104223,AL,MOBILE,30.6405675,-88.2253791
BR5751385,AL,MOBILE,30.6403944,-88.2486721
BT7636600,AL,MOBILE,30.6740322,-88.2286522
BC8597671,AL,MOBILE,30.6763409,-88.2264477
FA2911940,AL,AUTAUGA,32.4316339,-86.6549713
BR5227423,AL,CALHOUN,33.6283418,-85.7873664
BW5167300,AL,CALHOUN,33.6280459,-85.7876467
FW1286548,AL,CALHOUN,33.6287578,-85.7854848
FH1322685,AL,CHOCTAW,31.8765724,-88.3227797
BD5010753,AL,CHOCTAW,31.8746753,-88.3214106
BH4575366,AL,COVINGTON,31.279676,-86.2486352
BH6652083,AL,ELMORE,32.5352262,-85.9145819
BA9641641,AL,ELMORE,32.5517035,-85.9206612
BR5156939,AL,ELMORE,32.5376852,-85.8985845
AH8053489,AL,ELMORE,32.5376852,-85.8985845
FT3472735,AL,ELMORE,32.5517035,-85.9206612
AH8385204,AL,RANDOLPH,33.9688155,-85.946079
BB4259316,AL,JEFFERSON,33.377512,-86.8010497
BS9770430,AL,MACON,32.4002671,-85.948897
AC0484066,AL,MARSHALL,34.19826,-86.159619
BM6710518,AL,MARSHALL,34.1987654,-86.1564766
BC8544202,AL,MARSHALL,34.1949841,-86.1534554
FW0504185,AL,MARSHALL,34.1999285,-86.1499769
BW5382724,AL,MARSHALL,34.2150365,-86.1532368
BB7081970,AL,MOBILE,30.6415925,-88.1916667
AC3048837,AL,MOBILE,30.7407439,-88.0797325
BW5383257,AL,MORGAN,34.5565103,-86.9958752
BK3676004,AL,MORGAN,34.5606947,-86.9762683
AM3273769,AL,MORGAN,34.5530823,-86.9733138
AK7058375,AL,MORGAN,34.5606947,-86.9762683
FT0503133,AL,MORGAN,34.558799,-86.9702781
BH2587129,AL,WALKER,33.7144305,-87.388325
BR5156028,AL,WILCOX,31.9956961,-87.2792797
BF5977484,AL,WILCOX,31.9953257,-87.2776625
BC6523509,AL,WILCOX,31.990613,-87.2907002
BW8837669,AL,BALDWIN,30.2638348,-87.6892757
AK3028176,AL,BALDWIN,30.266038000000002,-87.689565
FI0803305,AL,BALDWIN,30.2743129,-87.6900266
BG5417236,AL,BALDWIN,30.2706237,-87.691124
FG3205843,AL,BALDWIN,30.2706237,-87.691124
BR5156511,AL,BLOUNT,33.948345,-86.4713383
BW5382801,AL,BLOUNT,33.9710849,-86.4467212
FJ0959429,AL,BLOUNT,33.9699642,-86.4531236
BH1636933,AL,BLOUNT,33.9549132,-86.4642759
BD2507284,AL,DALLAS,32.4028439,-87.0572936
BW3072597,AL,DALLAS,32.398382,-87.0660166
FW0313661,AL,ESCAMBIA,31.0046746,-87.4942067
AE0471437,AL,ESCAMBIA,31.0226491,-87.4937789
FP0258384,AL,ESCAMBIA,31.018194,-87.4800707
AH7808097,AL,ESCAMBIA,31.0214501,-87.4880201
AG2031211,AL,ESCAMBIA,31.0176729,-87.4802455
BF8319887,AL,ESCAMBIA,31.006105,-87.49195
BA8649468,AL,ESCAMBIA,31.0225108,-87.4884649
BC9474127,AL,JEFFERSON,33.5148784,-86.8144437
BM9058050,AL,JEFFERSON,33.5162239,-86.8065673
FB0366686,AL,JEFFERSON,33.5239941,-86.8034188
AB1931662,AL,JEFFERSON,33.4529633,-86.9715986
BW7879945,AL,JEFFERSON,33.4508566,-86.9783952
BR5157260,AL,JEFFERSON,33.4518963,-86.9790567
BP9697650,AL,JEFFERSON,33.4533427,-86.9782065
BF7636612,AL,JEFFERSON,33.4509133,-86.9826634
BF3488170,AL,JEFFERSON,33.4523166,-86.9687431
FW0534722,AL,LIMESTONE,34.8033269,-86.9523777
BK0850330,AL,LIMESTONE,34.8045696,-86.9525595
BR5155379,AL,MADISON,34.74892,-86.609313
BC7004740,AL,MADISON,34.7436908,-86.6026988
AS3146099,AL,MADISON,34.7469833,-86.6004757
FH3013238,AL,MADISON,34.7628516,-86.5983912
AT9793957,AL,MADISON,34.7503033,-86.600339
FP0195443,AL,MADISON,34.665847,-86.741457
AF3473535,AL,MARION,34.132682,-87.9897822
BR5156559,AL,MONTGOMERY,32.3527775,-86.2641691
BR5155999,AL,MONTGOMERY,32.3638718,-86.2858008
BW5382611,AL,RUSSELL,32.5007935,-85.043678
BF6854536,AL,BUTLER,31.6484595,-86.7555436
FG2271257,AL,BUTLER,31.6363448,-86.7407241
FW1149120,AL,CALHOUN,33.8159007,-85.7606967
BC8014071,AL,CALHOUN,33.8138134,-85.7607768
BR5154959,AL,CULLMAN,34.1821422,-86.8472485
BE2145250,AL,CULLMAN,34.1768886,-86.8446414
AC6195273,AL,CULLMAN,34.1724344,-86.8515155
FW3566176,AL,CULLMAN,34.1809977,-86.8466212
BR5156749,AL,HOUSTON,31.2271522,-85.408616
BS9798527,AL,HOUSTON,31.2446246,-85.4269495
AN0471209,AL,HOUSTON,31.2282568,-85.4158326
BU4203751,AL,AUTAUGA,32.458339,-86.4485788
BW7577488,AL,AUTAUGA,32.4599625,-86.4497644
BT4725050,AL,AUTAUGA,32.4606381,-86.4486578
BA6459576,AL,AUTAUGA,32.4648538,-86.4501399
BR5157056,AL,AUTAUGA,32.4595656,-86.4545067
BW6443802,AL,BALDWIN,30.8860401,-87.7901609
FP1444657,AL,BALDWIN,30.5557003,-87.891025
FP2911508,AL,BALDWIN,30.6738818,-87.8474202
FS0285569,AL,BALDWIN,30.6591768,-87.855589
BR9881586,AL,BALDWIN,30.6560058,-87.9012587
BP5817157,AL,BALDWIN,30.6428058,-87.867903
BW6531075,AL,BALDWIN,30.6189017,-87.9064617
BT6800139,AL,BALDWIN,30.6028486,-87.895968
BW6662793,AL,BALDWIN,30.6195858,-87.9076233
FP1457159,AL,BALDWIN,30.6127869,-87.9074904
BC8626129,AL,BALDWIN,30.5991328,-87.8972929
AP0483420,AL,BALDWIN,30.577518,-87.897023
FI2723446,AL,BALDWIN,30.5991443,-87.8972541
BT9835111,AL,BALDWIN,30.3038963,-87.6804373
FP1909540,AL,BALDWIN,30.2987805,-87.6813811
BE8214176,AL,BALDWIN,30.4140654,-87.5986184
BC5071282,AL,BARBOUR,31.8792182,-85.4496416
BW5382661,AL,BARBOUR,31.8435495,-85.1710613
BW5625679,AL,BARBOUR,31.8780128,-85.1468426
BW2046399,AL,BIBB,33.2141179,-87.1622669
BJ1297907,AL,BIBB,33.1339851,-87.1437988
FJ3488118,AL,BIBB,33.1339851,-87.1437988
AA7955771,AL,BLOUNT,33.9317654,-86.4943753
BM1604823,AL,BLOUNT,33.9453531,-86.4755905
AM6201127,AL,BULLOCK,32.1463189,-85.7157319
BR5156636,AL,BULLOCK,32.1435271,-85.7195334
AU6985848,AL,BULLOCK,32.1450108,-85.7158951
FW0914300,AL,BUTLER,31.8491271,-86.6393019
BD8030481,AL,CALHOUN,33.7632323,-85.8905607
BF8509599,AL,CALHOUN,33.7697255,-85.8917017
FF2415188,AL,FRANKLIN,34.5195736,-87.7159372
BF8219847,AL,FRANKLIN,34.4394939,-88.1370997
BR5156650,AL,FRANKLIN,34.4394501,-88.1374884
BQ4895566,AL,MORGAN,34.33182,-86.759589
FJ0594425,AL,CHEROKEE,34.220605,-85.5980206
BR5154860,AL,CHILTON,32.8490557,-86.6344402
BW3508667,AL,CHILTON,32.8505505,-86.6326084
AH4663743,AL,CHILTON,32.8491894,-86.6327266
BD6152641,AL,GENEVA,31.1066806,-85.5933277
BR5156989,AL,LEE,32.6375178,-85.4034549
BW5382899,AL,LEE,32.6379264,-85.4219197
FW0491528,AL,LEE,32.6374476,-85.4063581
AM0463593,AL,LEE,32.6355925,-85.4026081
FK0311617,AL,LEE,32.6206314,-85.4115995
AC0454203,AL,LEE,32.6347915,-85.4042008
BT9341429,AL,LEE,32.6176369,-85.410602
FF1701196,AL,LEE,32.6305266,-85.4377589
BA9641920,AL,LEE,32.6347915,-85.4042008
FE1247887,AL,LEE,32.6353794,-85.4527169
FS0637871,AL,LEE,32.608092,-85.4254668
BW3510737,AL,LEE,32.6401441,-85.4126477
AE4312132,AL,LEE,32.6207208,-85.4055919
FP1992898,AL,LEE,32.5850321,-85.436571
BM2542125,AL,MORGAN,34.477843,-86.572342
AU7552056,AL,PERRY,32.4496037,-87.5145597
FU3397444,AL,PERRY,32.4496037,-87.5145597
FT3214361,AL,CHILTON,32.9168129,-86.7162775
FB1750997,AL,CHILTON,32.784133,-86.8733561
BT3537480,AL,CHILTON,32.784133,-86.8733561
BB7685134,AL,HOUSTON,31.2110094,-85.3926876
BH5010830,AL,HOUSTON,31.2103776,-85.3937634
BM3333185,AL,HOUSTON,31.2192239,-85.397769
BC9112905,AL,RUSSELL,32.519959,-85.0293142
FW1119850,AL,RUSSELL,32.519094,-85.028624
BP8807426,AL,RUSSELL,32.5213803,-85.0284616
BA6888361,AL,LIMESTONE,34.792667,-86.955482
BR5156220,AL,LIMESTONE,34.7973333,-86.953238
BW5382584,AL,LIMESTONE,34.7886301,-86.9589404
BS9395852,AL,LIMESTONE,34.8033631,-86.9498997
FE0449858,AL,LIMESTONE,34.7875201,-86.9613685
BH4039168,AL,PIKE,31.7199924,-85.8154031
FP0239055,AL,PIKE,31.719307,-85.8158533
AP4878332,AL,PIKE,31.719307,-85.8158533
FP0215954,AL,JACKSON,34.853397,-85.6161624
BR5154923,AL,MADISON,34.7166305,-86.5779445
FT2878708,AL,MADISON,34.7192175,-86.581551
BA3882176,AL,MADISON,34.7195346,-86.5836711
FW2572205,AL,RANDOLPH,33.3734987,-85.3947998
BW7671577,AL,RUSSELL,32.4744812,-85.0291537
BG2766268,AL,RUSSELL,32.4747737,-85.0274857
AM5260904,AL,COFFEE,31.4295193,-86.0762762
FB0870039,AL,COFFEE,31.4049857,-86.0819791
BF7776416,AL,COFFEE,31.4251905,-86.0797597
AH1910579,AL,COFFEE,31.4234372,-86.083661
BS4453281,AL,COFFEE,31.4212156,-86.0688975
FB1644954,AL,JACKSON,34.9404681,-85.7267019
BR5156876,AL,MADISON,34.7107469,-86.6087632
AT9793945,AL,MADISON,34.7032359,-86.5900642
FA0353639,AL,MADISON,34.7034079,-86.5931381
FA0353615,AL,MADISON,34.7034079,-86.5931381
FM2109305,AL,MADISON,34.810893,-86.7140555
BP9311856,AL,MADISON,34.8074085,-86.7486031
FF1215587,AL,MADISON,34.7973586,-86.7481648
BH4218372,AL,MADISON,34.870313,-86.569425
FA1220817,AL,MADISON,34.8703206,-86.5722453
FP0572114,AL,MADISON,34.870313,-86.569425
BT9269158,AL,MADISON,34.8300229,-86.6373705
FW1457779,AL,MADISON,34.8300229,-86.6373705
BS9395840,AL,MADISON,34.870313,-86.569425
BS7856872,AL,MADISON,34.8644907,-86.570752
BU9870610,AL,MADISON,34.754681,-86.731142
BK4041846,AL,MADISON,34.7072699,-86.7435821
BW5383182,AL,JEFFERSON,33.5621694,-86.5189736
BV7037193,AL,COLBERT,34.7449995,-87.6564368
BS8951142,AL,COLBERT,34.7444993,-87.6507186
BA5101112,AL,COLBERT,34.7436997,-87.6398019
BS6223832,AL,COLBERT,34.7444993,-87.6507186
BM4022000,AL,COLBERT,34.7845525,-87.5280675
FF2596116,AL,COLBERT,34.7845573,-87.5278106
FS1992444,AL,COLBERT,34.7845928,-87.529276
BF9339323,AL,JACKSON,34.6480011,-86.0293385
AK9145461,AL,JACKSON,34.6479724,-86.0294936
BW5383372,AL,JACKSON,34.6695595,-86.007692
FP1128138,AL,JACKSON,34.6814312,-85.8481792
FP0010037,AL,JACKSON,34.681419,-85.847953
AS0473784,AL,JACKSON,34.6813911,-85.847961
BS2560882,AL,JACKSON,34.5837729,-85.9881608
BC8003662,AL,TALLADEGA,33.5282832,-85.9485427
BL5869194,AL,TALLADEGA,33.6022133,-86.1199239
FF0002814,AL,TALLADEGA,33.6037115,-86.1145023
BR5157145,AL,CONECUH,31.4324473,-86.9572849
BF8389238,AL,CONECUH,31.4301768,-86.9612353
FE2719500,AL,CONECUH,31.4310678,-86.9583606
AY0453807,AL,JEFFERSON,33.552497,-86.816942
BP3327550,AL,JEFFERSON,33.5528543,-86.819308
BA9579927,AL,JEFFERSON,33.5494903,-86.8332434
AA0457730,AL,JEFFERSON,33.5528543,-86.819308
AV7428483,AL,JEFFERSON,33.5404848,-86.7231087
BR5157006,AL,JEFFERSON,33.5131612,-86.7808709
AA0474344,AL,JEFFERSON,33.4988496,-86.8434215
AG2328727,AL,JEFFERSON,33.4997749,-86.855928
BW8061210,AL,JEFFERSON,33.5003298,-86.844857
BR5156799,AL,JEFFERSON,33.5001664,-86.8431708
BG5508102,AL,JEFFERSON,33.4985437,-86.8455284
FB2864595,AL,JEFFERSON,33.498957,-86.847845
FS2798342,AL,JEFFERSON,33.499022,-86.8484637
BR5156232,AL,JEFFERSON,33.4711883,-86.8252896
BW6926680,AL,JEFFERSON,33.470755,-86.8236543
FW0226123,AL,JEFFERSON,33.4679023,-86.8216418
AS0471970,AL,JEFFERSON,33.4655281,-86.8238595
BD5662855,AL,JEFFERSON,33.4660866,-86.8241913
BL7461938,AL,TUSCALOOSA,33.1277315,-87.5501311
BD6538233,AL,TUSCALOOSA,33.1361288,-87.5460099
BW7300724,AL,TUSCALOOSA,33.1179972,-87.5531051
BH4422313,AL,TUSCALOOSA,33.1447211,-87.5455346
FP1197551,AL,TUSCALOOSA,33.1230851,-87.5527961
FD3471276,AL,TUSCALOOSA,33.1361288,-87.5460099
BD5631317,AL,COVINGTON,31.3089945,-86.4786262
BW5383649,AL,COVINGTON,31.3192794,-86.4625683
FP2451083,AL,COVINGTON,31.3186248,-86.4615647
FA3498828,AL,COVINGTON,31.3181664,-86.4607106
FT0022842,AL,COVINGTON,31.2869841,-86.2558959
FF2218116,AL,COVINGTON,31.2869841,-86.2558959
AC4330964,AL,COVINGTON,31.2926308,-86.2559157
AT7531381,AL,COVINGTON,31.2869841,-86.2558959
AF0472946,AL,COVINGTON,31.0051077,-86.3273644
AM2502917,AL,COVINGTON,31.0061327,-86.3293369
BR5764318,AL,JEFFERSON,33.6131605,-86.6878144
BH1281839,AL,JEFFERSON,33.4499838,-86.9858299
BW8183179,AL,JEFFERSON,33.4523853,-86.9856344
BP8554861,AL,JEFFERSON,33.4652764,-86.8196106
BW8285896,AL,JEFFERSON,33.4884809,-86.7924594
BR5158565,AL,JEFFERSON,33.484194,-86.7740986
AP0482632,AL,JEFFERSON,33.5450117,-86.5538956
AT0473746,AL,JEFFERSON,33.5428286,-86.5421384
BP7449968,AL,JEFFERSON,33.6413324,-86.5798954
FT2053356,AL,JEFFERSON,33.6211197,-86.6085562
AH1128809,AL,JEFFERSON,33.6195073,-86.608381
AB0481236,AL,MARSHALL,34.526051,-86.253514
AM0481983,AL,MARSHALL,34.3392321,-86.3125971
FW1847093,AL,MARSHALL,34.3459513,-86.3041555
FP1436763,AL,SAINT CLAIR,33.5207325,-86.2980205
FA0131499,AL,SAINT CLAIR,33.8468772,-86.2735021
AA6228387,AL,SAINT CLAIR,33.846758,-86.273276
AT1541641,AL,JEFFERSON,33.650031,-86.6346166
BB5590410,AL,JEFFERSON,33.6984947,-86.6055784
BK3343453,AL,JEFFERSON,33.6417728,-86.6214369
BS8761404,AL,JEFFERSON,33.644533,-86.625124
BP6664507,AL,JEFFERSON,33.7474429,-86.809932
FM0811287,AL,JEFFERSON,33.7736516,-86.8121342
BH2254819,AL,MOBILE,30.6930942,-88.0669699
FD1875890,AL,MOBILE,30.692719,-88.0784383
BW5383459,AL,TALLADEGA,33.1760335,-86.2854302
BF0507422,AL,TALLADEGA,33.1647239,-86.2731087
FH1846584,AL,TALLADEGA,33.1647239,-86.2731087
